Information,Engine Model,Engine Type,Manufacturer,Takeoff Thrust (lb),Bypass ratio,Pressure ratio,Takeoff Mass flow (lb/s),Takeoff SFC (lb/hr/lb),Climb Max. thrust (lb),Cruise Altitude (ft),Cruise Mach number,Cruise Thrust (lb),Cruise Thrust lapse rate,Cruise Sfc lb/hr/lb,Length (m),Fan diameter (m),Basic eng. wt. (lb),Number of shafts,Compressor,Turbine,Year
1,3C1,CFM 56,CFMI,23500,4.8,25.7,710,0.33,5540,35000,0.8,,,0.67,2.36,1.6,4301,2,1+3LP 9HP,1HP 4LP,1986
2,5A1,CFM 56,CFMI,25000,6,26.5,852,0.33,5670,35000,0.8,,,0.6,2.51,1.83,4860,2,1+3LP 9HP,1HP 4LP,1987
3,5C2,CFM 56,CFMI,31200,6.4,31.5,1065,0.32,7580,35000,0.8,,,0.55,2.62,1.95,5700,2,1+4LP 9HP,1HP 5LP,1994
4,7B20,CFM 56,CFMI,20600,,,,0.36,,,,,,,2.5,1.65,5234,2,3LP 9HP,1HP 4LP,1997
5,A1,V2500,IAE,25000,5.4,29.4,781,0.35,5620,35000,0.8,5070,0.2,0.58,3.2,1.68,5210,2,1+4LP 10HP,2HP 5LP,1989
6,A5,V2522,IAE,22000,5,24.9,738,0.34,5550,35000,0.8,5185,0.24,0.57,3.2,1.68,5252,2,1+4LP 10HP,2HP 5LP,1993
7,A5,V2533,IAE,33000,4.6,33.4,848,0.37,6225,35000,0.8,5725,0.17,0.57,3.2,1.68,5230,2,1+4LP 10HP,2HP 5LP,1994
8,D5,V2525,IAE,25000,4.8,27.7,784,0.36,6061,35000,0.8,5773,0.23,0.57,3.2,1.68,5252,2,1+4LP 10HP,2HP 5LP,1994
9,"3A,3B",CF34,GEN ELEC,9220,,21,,0.35,,,,,,,2.616,1.245,1670,2,1F+14cHP,2HP 4LP,1996
10,80A2,CF6,GEN ELEC,60000,4.66,27.3,1435,0.35,,35000,0.8,11045,0.221,0.623,3.98,2.49,8496,2,1+3LP 14HP,2HP 4LP,1981
11,80C2-A5,CF6,GEN ELEC,61300,5.05,31.5,1769,0.34,12860,35000,0.8,11340,0.184991843,0.578,4.267,2.694,9135,2,1+4LP 14HP,2HP 5LP,1987
12,80C2-B1F,CF6,GEN ELEC,58000,5.15,29.9,1764,0.32,13180,35000,0.8,12820,0.221034483,0.564,4.267,2.694,9499,2,1+4LP 14HP,2HP 5LP,
13,80C2-B2,CF6,GEN ELEC,52500,5.31,27.1,1650,0.32,12650,35000,0.8,12000,0.228571429,0.576,4.267,2.694,9399,2,1+4LP 14HP,2HP 5LP,1986
14,80E1A2,CF6,GEN ELEC,67500,5.3,32.4,1926,0.33,,,,,,0.562,4.343,2.794,10726,2,1+4LP 14HP,2HP 5LP,
