Assumptions,Units,Variable Type,Sailplane - unpowered,Sailplane - powered,Homebuilt - metal/wood,Homebuilt - composite,General aircraft - single engine,General aircraft - twin engine,Agricultural aircraft,Twin turboprop,Flying boat,Jet trainer,Jet fighter,Military cargo/bomber,Jet transport,UAV - tactical recce & UCAV,UAV - high altitude,UAV small
KLD,,Float64,15,15,9,9,9,9,9,11,9,14,14,14,15.5,9,9,9
A,,Float64,0.83,0.88,1.11,1.07,2.05,1.4,0.72,0.92,1.05,1.47,2.11,0.88,0.97,1.53,2.48,0.86
C,,Float64,-0.05,-0.05,-0.09,-0.09,-0.18,-0.1,-0.03,-0.05,-0.05,-0.1,-0.13,-0.07,-0.06,-0.16,-0.18,-0.06
Fineness Ratio (Low),,Float64,4,4,4,4,5,3.6,5,5.6,6,5.4,7,6,6.8,0,0,0
Fineness Ratio (High),,Float64,8,8,8,8,8,8,8,10,11,7.5,11,13,11.5,8,8,8
Nose Fineness Ratio (Low),,Float64,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5,1.5
Nose Fineness Ratio (High),,Float64,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8,1.8
Afterbody Fineness Ratio (Low),,Float64,3,3,3,3,3,2.6,3,2,3,3,3,2.5,2.6,0,0,0
Afterbody Fineness Ratio (High),,Float64,3,3,3,3,4,4,4,4,6,3,5,6,4,3,3,3
Afterbody Upsweep Angle (Low),degrees,Float64,2,2,2,2,3,6,1,15,8,0,0,7,11,0,0,0
Afterbody Upsweep Angle (High),degrees,Float64,9,9,9,9,9,13,7,19,14,14,8,25,16,9,9,9
VH,,Float64,0.5,0.5,0.5,0.5,0.7,0.8,0.5,0.9,0.7,0.7,0.4,1,1,0.5,0.5,0.5
VV,,Float64,0.02,0.02,0.04,0.04,0.04,0.07,0.04,0.08,0.06,0.06,0.09,0.08,0.09,0.04,0.04,0.04
